timeStamp,elapsed,label,success,URL,Latency,IdleTime,Connect
1557319625201,54,Get EHR - 1 User,false,http://localhost:8000/get_ehr/RSSSTF63M05C112S-patient1-whatever,54,0,24
1557319625265,22,Get EHR - 1 User,false,http://localhost:8001/get_ehr/BNCCRL85M12C143Y-patient2-whatever,22,0,1
1557319625289,19,Get EHR - 1 User,false,http://localhost:8002/get_ehr/VRDNNA97F01S432I-patient3-whatever,19,0,0
1557319625309,23,Get EHR - 1 User,false,http://localhost:8003/get_ehr/SMNGVN96M03A111S-patient4-whatever,23,0,0
1557319625333,17,Get EHR - 1 User,false,http://localhost:8004/get_ehr/RSSALS45F11R021T-patient5-whatever,17,0,1
1557319625351,16,Get EHR - 1 User,false,http://localhost:8005/get_ehr/FISCALCODE1-patient6-whatever,16,0,1
1557319625368,15,Get EHR - 1 User,false,http://localhost:8006/get_ehr/FISCALCODE2-patient7-whatever,15,0,0
1557319625384,19,Get EHR - 1 User,false,http://localhost:8007/get_ehr/FISCALCODE3-patient8-whatever,19,0,1
1557319625404,20,Get EHR - 1 User,false,http://localhost:8008/get_ehr/FISCALCODE4-patient9-whatever,20,0,0
1557319625426,16,Get EHR - 1 User,false,http://localhost:8009/get_ehr/FISCALCODE5-patient10-whatever,16,0,0
1557319625442,15,Get EHR - 1 User,false,http://localhost:8000/get_ehr/FISCALCODE6-patient11-whatever,15,0,1
1557319625457,13,Get EHR - 1 User,false,http://localhost:8001/get_ehr/FISCALCODE7-patient12-whatever,13,0,1
1557319625471,17,Get EHR - 1 User,false,http://localhost:8002/get_ehr/FISCALCODE8-patient13-whatever,17,0,1
1557319625489,13,Get EHR - 1 User,false,http://localhost:8003/get_ehr/FISCALCODE9-patient14-whatever,13,0,0
1557319625503,18,Get EHR - 1 User,false,http://localhost:8004/get_ehr/FISCALCODE10-patient15-whatever,18,0,0
1557319625522,12,Get EHR - 1 User,false,http://localhost:8005/get_ehr/FISCALCODE11-patient16-whatever,12,0,0
1557319625535,15,Get EHR - 1 User,false,http://localhost:8006/get_ehr/FISCALCODE12-patient17-whatever,15,0,0
1557319625550,14,Get EHR - 1 User,false,http://localhost:8007/get_ehr/FISCALCODE13-patient18-whatever,14,0,1
1557319625565,14,Get EHR - 1 User,false,http://localhost:8008/get_ehr/FISCALCODE14-patient19-whatever,13,0,0
1557319625580,15,Get EHR - 1 User,false,http://localhost:8009/get_ehr/FISCALCODE15-patient20-whatever,15,0,0
1557319625595,14,Get EHR - 1 User,false,http://localhost:8000/get_ehr/FISCALCODE16-patient21-whatever,14,0,1
1557319625610,14,Get EHR - 1 User,false,http://localhost:8001/get_ehr/FISCALCODE17-patient22-whatever,14,0,1
1557319625625,14,Get EHR - 1 User,false,http://localhost:8002/get_ehr/FISCALCODE18-patient23-whatever,14,0,1
1557319625639,11,Get EHR - 1 User,false,http://localhost:8003/get_ehr/FISCALCODE19-patient24-whatever,11,0,1
1557319625650,11,Get EHR - 1 User,false,http://localhost:8004/get_ehr/FISCALCODE20-patient25-whatever,11,0,1
1557319625662,11,Get EHR - 1 User,false,http://localhost:8005/get_ehr/FISCALCODE21-patient26-whatever,11,0,0
1557319625674,10,Get EHR - 1 User,false,http://localhost:8006/get_ehr/FISCALCODE22-patient27-whatever,10,0,0
1557319625685,10,Get EHR - 1 User,false,http://localhost:8007/get_ehr/FISCALCODE23-patient28-whatever,10,0,0
1557319625695,10,Get EHR - 1 User,false,http://localhost:8008/get_ehr/FISCALCODE24-patient29-whatever,10,0,1
1557319625706,10,Get EHR - 1 User,false,http://localhost:8009/get_ehr/FISCALCODE25-patient30-whatever,10,0,1
1557319625717,11,Get EHR - 1 User,false,http://localhost:8000/get_ehr/FISCALCODE26-patient31-whatever,11,0,0
1557319625729,10,Get EHR - 1 User,false,http://localhost:8001/get_ehr/FISCALCODE27-patient32-whatever,10,0,0
1557319625740,10,Get EHR - 1 User,false,http://localhost:8002/get_ehr/FISCALCODE28-patient33-whatever,10,0,0
1557319625751,10,Get EHR - 1 User,false,http://localhost:8003/get_ehr/FISCALCODE29-patient34-whatever,10,0,0
1557319625762,12,Get EHR - 1 User,false,http://localhost:8004/get_ehr/FISCALCODE30-patient35-whatever,12,0,1
1557319625775,10,Get EHR - 1 User,false,http://localhost:8005/get_ehr/FISCALCODE31-patient36-whatever,10,0,0
1557319625786,11,Get EHR - 1 User,false,http://localhost:8006/get_ehr/FISCALCODE32-patient37-whatever,11,0,0
1557319625798,11,Get EHR - 1 User,false,http://localhost:8007/get_ehr/FISCALCODE33-patient38-whatever,11,0,0
1557319625810,14,Get EHR - 1 User,false,http://localhost:8008/get_ehr/FISCALCODE34-patient39-whatever,14,0,0
1557319625825,11,Get EHR - 1 User,false,http://localhost:8009/get_ehr/FISCALCODE35-patient40-whatever,11,0,0
1557319625836,10,Get EHR - 1 User,false,http://localhost:8000/get_ehr/FISCALCODE36-patient41-whatever,10,0,1
1557319625847,10,Get EHR - 1 User,false,http://localhost:8001/get_ehr/FISCALCODE37-patient42-whatever,10,0,0
1557319625858,11,Get EHR - 1 User,false,http://localhost:8002/get_ehr/FISCALCODE38-patient43-whatever,11,0,0
1557319625869,10,Get EHR - 1 User,false,http://localhost:8003/get_ehr/FISCALCODE39-patient44-whatever,10,0,1
1557319625880,10,Get EHR - 1 User,false,http://localhost:8004/get_ehr/FISCALCODE40-patient45-whatever,10,0,0
1557319625890,14,Get EHR - 1 User,false,http://localhost:8005/get_ehr/FISCALCODE41-patient46-whatever,14,0,1
1557319625905,10,Get EHR - 1 User,false,http://localhost:8006/get_ehr/FISCALCODE42-patient47-whatever,10,0,0
1557319625915,11,Get EHR - 1 User,false,http://localhost:8007/get_ehr/FISCALCODE43-patient48-whatever,11,0,1
1557319625926,14,Get EHR - 1 User,false,http://localhost:8008/get_ehr/FISCALCODE44-patient49-whatever,14,0,1
1557319625941,12,Get EHR - 1 User,false,http://localhost:8009/get_ehr/FISCALCODE45-patient50-whatever,12,0,0
1557319625954,12,Get EHR - 1 User,false,http://localhost:8000/get_ehr/FISCALCODE46-patient51-whatever,12,0,0
1557319625966,11,Get EHR - 1 User,false,http://localhost:8001/get_ehr/FISCALCODE47-patient52-whatever,11,0,1
1557319625977,10,Get EHR - 1 User,false,http://localhost:8002/get_ehr/FISCALCODE48-patient53-whatever,10,0,1
1557319625988,10,Get EHR - 1 User,false,http://localhost:8003/get_ehr/FISCALCODE49-patient54-whatever,10,0,0
1557319625998,11,Get EHR - 1 User,false,http://localhost:8004/get_ehr/FISCALCODE50-patient55-whatever,11,0,1
1557319626009,14,Get EHR - 1 User,false,http://localhost:8005/get_ehr/FISCALCODE51-patient56-whatever,14,0,1
1557319626024,9,Get EHR - 1 User,false,http://localhost:8006/get_ehr/FISCALCODE52-patient57-whatever,9,0,0
1557319626034,14,Get EHR - 1 User,false,http://localhost:8007/get_ehr/FISCALCODE53-patient58-whatever,14,0,0
1557319626048,10,Get EHR - 1 User,false,http://localhost:8008/get_ehr/FISCALCODE54-patient59-whatever,10,0,0
1557319626059,11,Get EHR - 1 User,false,http://localhost:8009/get_ehr/FISCALCODE55-patient60-whatever,11,0,0
1557319626070,11,Get EHR - 1 User,false,http://localhost:8000/get_ehr/FISCALCODE56-patient61-whatever,11,0,1
1557319626082,10,Get EHR - 1 User,false,http://localhost:8001/get_ehr/FISCALCODE57-patient62-whatever,10,0,0
1557319626092,10,Get EHR - 1 User,false,http://localhost:8002/get_ehr/FISCALCODE58-patient63-whatever,10,0,0
1557319626102,10,Get EHR - 1 User,false,http://localhost:8003/get_ehr/FISCALCODE59-patient64-whatever,10,0,1
1557319626113,10,Get EHR - 1 User,false,http://localhost:8004/get_ehr/FISCALCODE60-patient65-whatever,9,0,0
1557319626123,10,Get EHR - 1 User,false,http://localhost:8005/get_ehr/FISCALCODE61-patient66-whatever,10,0,0
1557319626133,10,Get EHR - 1 User,false,http://localhost:8006/get_ehr/FISCALCODE62-patient67-whatever,10,0,1
1557319626144,11,Get EHR - 1 User,false,http://localhost:8007/get_ehr/FISCALCODE63-patient68-whatever,11,0,0
1557319626155,10,Get EHR - 1 User,false,http://localhost:8008/get_ehr/FISCALCODE64-patient69-whatever,10,0,1
1557319626165,10,Get EHR - 1 User,false,http://localhost:8009/get_ehr/FISCALCODE65-patient70-whatever,10,0,1
1557319626175,10,Get EHR - 1 User,false,http://localhost:8000/get_ehr/FISCALCODE66-patient71-whatever,10,0,1
1557319626185,9,Get EHR - 1 User,false,http://localhost:8001/get_ehr/FISCALCODE67-patient72-whatever,9,0,0
1557319626195,9,Get EHR - 1 User,false,http://localhost:8002/get_ehr/FISCALCODE68-patient73-whatever,9,0,0
1557319626205,14,Get EHR - 1 User,false,http://localhost:8003/get_ehr/FISCALCODE69-patient74-whatever,14,0,0
1557319626219,11,Get EHR - 1 User,false,http://localhost:8004/get_ehr/FISCALCODE70-patient75-whatever,11,0,1
1557319626231,10,Get EHR - 1 User,false,http://localhost:8005/get_ehr/FISCALCODE71-patient76-whatever,10,0,0
1557319626241,10,Get EHR - 1 User,false,http://localhost:8006/get_ehr/FISCALCODE72-patient77-whatever,10,0,1
1557319626251,10,Get EHR - 1 User,false,http://localhost:8007/get_ehr/FISCALCODE73-patient78-whatever,10,0,1
1557319626261,10,Get EHR - 1 User,false,http://localhost:8008/get_ehr/FISCALCODE74-patient79-whatever,10,0,1
1557319626272,9,Get EHR - 1 User,false,http://localhost:8009/get_ehr/FISCALCODE75-patient80-whatever,9,0,0
1557319626282,10,Get EHR - 1 User,false,http://localhost:8000/get_ehr/FISCALCODE76-patient81-whatever,10,0,0
1557319626292,10,Get EHR - 1 User,false,http://localhost:8001/get_ehr/FISCALCODE77-patient82-whatever,10,0,0
1557319626302,10,Get EHR - 1 User,false,http://localhost:8002/get_ehr/FISCALCODE78-patient83-whatever,10,0,1
1557319626312,9,Get EHR - 1 User,false,http://localhost:8003/get_ehr/FISCALCODE79-patient84-whatever,9,0,1
1557319626322,10,Get EHR - 1 User,false,http://localhost:8004/get_ehr/FISCALCODE80-patient85-whatever,10,0,0
1557319626332,11,Get EHR - 1 User,false,http://localhost:8005/get_ehr/FISCALCODE81-patient86-whatever,11,0,1
1557319626344,10,Get EHR - 1 User,false,http://localhost:8006/get_ehr/FISCALCODE82-patient87-whatever,10,0,0
1557319626354,10,Get EHR - 1 User,false,http://localhost:8007/get_ehr/FISCALCODE83-patient88-whatever,10,0,1
1557319626365,10,Get EHR - 1 User,false,http://localhost:8008/get_ehr/FISCALCODE84-patient89-whatever,10,0,0
1557319626376,9,Get EHR - 1 User,false,http://localhost:8009/get_ehr/FISCALCODE85-patient90-whatever,9,0,0
1557319626386,9,Get EHR - 1 User,false,http://localhost:8000/get_ehr/FISCALCODE86-patient91-whatever,9,0,0
1557319626395,11,Get EHR - 1 User,false,http://localhost:8001/get_ehr/FISCALCODE87-patient92-whatever,11,0,1
1557319626407,10,Get EHR - 1 User,false,http://localhost:8002/get_ehr/FISCALCODE88-patient93-whatever,10,0,0
1557319626418,9,Get EHR - 1 User,false,http://localhost:8003/get_ehr/FISCALCODE89-patient94-whatever,9,0,0
1557319626427,9,Get EHR - 1 User,false,http://localhost:8004/get_ehr/FISCALCODE90-patient95-whatever,9,0,1
1557319626437,10,Get EHR - 1 User,false,http://localhost:8005/get_ehr/FISCALCODE91-patient96-whatever,10,0,0
1557319626448,11,Get EHR - 1 User,false,http://localhost:8006/get_ehr/FISCALCODE92-patient97-whatever,11,0,1
